id_met	tissue	stage	germ_layer	pass_metQC
GSE101000_Hindbrain_E10.5_cpg_meth	Hindbrain	E10.5	Ectoderm	TRUE
GSE101023_Limb_E10.5_cpg_meth	Limb	E10.5	Mesoderm	TRUE
GSE101302_Midbrain_E10.5_cpg_meth	Midbrain	E10.5	Ectoderm	TRUE
GSE101322_Heart_E10.5_cpg_meth	Heart	E10.5	Mesoderm	TRUE
GSE101360_Forebrain_E10.5_cpg_meth	Forebrain	E10.5	Ectoderm	TRUE
GSE101478_Craniofacial_E10.5_cpg_meth	Craniofacial	E10.5	Mesoderm	TRUE
GSE82346_Forebrain_E12.5_cpg_meth	Forebrain	E12.5	Ectoderm	TRUE
GSE82351_Stomach_E15.5_cpg_meth	Stomach	E15.5	Endoderm	TRUE
GSE82355_Forebrain_E15.5_cpg_meth	Forebrain	E15.5	Ectoderm	TRUE
GSE82356_Forebrain_P0_cpg_meth	Forebrain	P0	Ectoderm	TRUE
GSE82364_Lung_E15.5_cpg_meth	Lung	E15.5	Endoderm	TRUE
GSE82367_Liver_E11.5_cpg_meth	Liver	E11.5	Endoderm	TRUE
GSE82371_Hindbrain_E16.5_cpg_meth	Hindbrain	E16.5	Ectoderm	TRUE
GSE82379_Heart_E16.5_cpg_meth	Heart	E16.5	Mesoderm	TRUE
GSE82418_Intestine_E14.5_cpg_meth	Intestine	E14.5	Endoderm	TRUE
GSE82421_Midbrain_E11.5_cpg_meth	Midbrain	E11.5	Ectoderm	TRUE
GSE82434_Limb_E14.5_cpg_meth	Limb	E14.5	Mesoderm	TRUE
GSE82451_Kidney_P0_cpg_meth	Kidney	P0	Mesoderm	TRUE
GSE82456_Liver_E16.5_cpg_meth	Liver	E16.5	Endoderm	TRUE
GSE82465_Forebrain_E13.5_cpg_meth	Forebrain	E13.5	Ectoderm	TRUE
GSE82466_Neural_tube_E12.5_cpg_meth	Neural_tube	E12.5	Ectoderm	TRUE
GSE82469_Heart_E13.5_cpg_meth	Heart	E13.5	Mesoderm	TRUE
GSE82481_Hindbrain_P0_cpg_meth	Hindbrain	P0	Ectoderm	TRUE
GSE82493_Lung_E14.5_cpg_meth	Lung	E14.5	Endoderm	TRUE
GSE82504_Midbrain_E15.5_cpg_meth	Midbrain	E15.5	Ectoderm	TRUE
GSE82505_Intestine_E16.5_cpg_meth	Intestine	E16.5	Endoderm	TRUE
GSE82510_Hindbrain_E15.5_cpg_meth	Hindbrain	E15.5	Ectoderm	TRUE
GSE82541_Limb_E12.5_cpg_meth	Limb	E12.5	Mesoderm	TRUE
GSE82546_Heart_E12.5_cpg_meth	Heart	E12.5	Mesoderm	TRUE
GSE82557_Heart_E15.5_cpg_meth	Heart	E15.5	Mesoderm	TRUE
GSE82560_Forebrain_E11.5_cpg_meth	Forebrain	E11.5	Ectoderm	TRUE
GSE82571_Stomach_P0_cpg_meth	Stomach	P0	Endoderm	TRUE
GSE82602_Liver_E15.5_cpg_meth	Liver	E15.5	Endoderm	TRUE
GSE82610_Liver_E12.5_cpg_meth	Liver	E12.5	Endoderm	TRUE
GSE82621_Midbrain_E14.5_cpg_meth	Midbrain	E14.5	Ectoderm	TRUE
GSE82632_Intestine_P0_cpg_meth	Intestine	P0	Endoderm	TRUE
GSE82658_Heart_P0_cpg_meth	Heart	P0	Mesoderm	TRUE
GSE82661_Hindbrain_E11.5_cpg_meth	Hindbrain	E11.5	Ectoderm	TRUE
GSE82669_Lung_P0_cpg_meth	Lung	P0	Endoderm	TRUE
GSE82673_Forebrain_E14.5_cpg_meth	Forebrain	E14.5	Ectoderm	TRUE
GSE82684_Kidney_E16.5_cpg_meth	Kidney	E16.5	Mesoderm	TRUE
GSE82692_Forebrain_E16.5_cpg_meth	Forebrain	E16.5	Ectoderm	TRUE
GSE82705_Neural_tube_E14.5_cpg_meth	Neural_tube	E14.5	Ectoderm	TRUE
GSE82724_Craniofacial_E14.5_cpg_meth	Craniofacial	E14.5	Mesoderm	TRUE
GSE82725_Neural_tube_E15.5_cpg_meth	Neural_tube	E15.5	Ectoderm	TRUE
GSE82766_Lung_E16.5_cpg_meth	Lung	E16.5	Endoderm	TRUE
GSE82774_Stomach_E14.5_cpg_meth	Stomach	E14.5	Endoderm	TRUE
GSE82780_Liver_P0_cpg_meth	Liver	P0	Endoderm	TRUE
GSE82812_Craniofacial_E13.5_cpg_meth	Craniofacial	E13.5	Mesoderm	TRUE
GSE82823_Hindbrain_E12.5_cpg_meth	Hindbrain	E12.5	Ectoderm	TRUE
GSE82824_Neural_tube_E11.5_cpg_meth	Neural_tube	E11.5	Ectoderm	TRUE
GSE82828_Craniofacial_E12.5_cpg_meth	Craniofacial	E12.5	Mesoderm	TRUE
GSE82834_Heart_E11.5_cpg_meth	Heart	E11.5	Mesoderm	TRUE
GSE82836_Midbrain_E12.5_cpg_meth	Midbrain	E12.5	Ectoderm	TRUE
GSE82844_Heart_E14.5_cpg_meth	Heart	E14.5	Mesoderm	TRUE
GSE82855_Neural_tube_E13.5_cpg_meth	Neural_tube	E13.5	Ectoderm	TRUE
GSE82862_Liver_E13.5_cpg_meth	Liver	E13.5	Endoderm	TRUE
GSE82887_Limb_E15.5_cpg_meth	Limb	E15.5	Mesoderm	TRUE
GSE82891_Limb_E13.5_cpg_meth	Limb	E13.5	Mesoderm	TRUE
